TF	target	importance
Prkaa1	Rab11fip3	5.635670425737584
Pbx2	Cdc123	5.580365252548638
Pbx2	Otub1	5.572438424533747
Prkaa1	Sec14l2	5.5051538137052
Zfp651	Nptx1	5.500981563607001
Prkaa1	Cldn12	5.413688974576719
Zfp651	Ndst4	5.397543998212366
Zfp651	Mtmr1	5.38864377013662
Zc3h11a	Wwox	5.377824652298574
Prkaa1	Zc3h11a	5.370617867804169
Zc3h11a	Hsph1	5.35309388281656
Pbx2	Mapkap1	5.343977199232931
Zfp651	Neto1	5.329604344282682
Pbx2	Nptx2	5.299897369222429
Zc3h11a	Rpl7	5.281061816558539
Zfp651	Sec14l2	5.2593325935791375
Prkaa1	Smim8	5.20951942499647
Zfp651	Smim8	5.1897805971494
Zfp651	Tbc1d32	5.163882010299004
Zzz3	Sec14l2	5.083886652351506
Pbx2	Acvr1c	5.072212954149006
Zfp651	Wdr62	5.070222654221384
Zc3h11a	Cdc123	5.049030599055157
Zzz3	Snx5	5.039765244700024
Zfp651	Wwc1	5.022305223574877
Zzz3	Mir1897	5.016623147246814
Zzz3	Phactr2	5.006859408220399
Pbx2	Phactr2	4.93566744385037
Zfp651	Fndc4	4.884489770123441
Zzz3	Socs7	4.849292638719831
Zc3h11a	Timm10b	4.696372162771567
Zzz3	Rpl7	4.6889787226486135
Zzz3	Usp53	4.638609163940404
Pbx2	Stk17b	4.594918745891925
Zc3h11a	Nptx2	4.577800163815902
Zfp651	Rab11fip3	4.475985052391699
Zzz3	Usp25	4.440328643783095
Prkaa1	Ppargc1b	4.40492468168755
Zzz3	Tph2	4.376175368771921
Prkaa1	Rian	4.3703813860706004
Zzz3	Ubxn2b	4.355645480421712
Zzz3	Zc3h15	4.343085363515894
Zzz3	Pus3	4.313986699845073
Zzz3	Pxn	4.309428666164006
Zfp651	Thap3	4.237190878935086
Zzz3	Mmgt2	4.2191660437343605
Zfp651	Socs7	4.20584778531511
Zc3h11a	Gal3st3	4.195931721319813
Zfp651	Nup88	4.181931776093913
Zzz3	Smim8	4.093710799678782
Zfp651	Coq7	4.092441498157956
Pbx2	Zc3h15	4.087722072344157
Zfp651	Zswim7	4.072112095435874
Zzz3	Mb21d1	4.058305242147645
